Year,Month,Type,ICEV,HEV,PHEV,HEV & PHEV,BEV,Total xEV,Not Specific,Other,Total
2565,11,Passenger Car and Pickup Truck,59802,5052,961,6013,1319,7332,0,0,67134
2565,12,Truck,4107,0,0,0,1,1,0,1286,5394
2565,12,Three Wheeler,14,0,0,0,14,14,0,0,28
2565,12,Passenger Car and Pickup Truck,46359,4071,679,4750,1246,5996,0,0,52355
2565,12,Mini MPV,0,0,0,0,0,0,0,0,0
2565,12,Bus,517,0,0,0,335,335,0,0,852
2565,Total,Bus,4063,1,0,1,976,977,0,0,5040
2565,Total,Mini MPV,4,0,0,0,0,0,0,0,4
2565,Total,Passenger Car and Pickup Truck,803378,62137,11117,73254,9454,82708,0,0,886086
2565,Total,Three Wheeler,150,0,0,0,225,225,0,0,375
2565,Total,Truck,58834,0,0,0,20,20,0,17142,75996
2566,01,Truck,4755,0,0,0,4,4,0,1451,6210
2566,01,Three Wheeler,13,0,0,0,32,32,0,0,45
2566,01,Passenger Car and Pickup Truck,72308,7653,961,8614,2968,11582,0,0,83890
2566,01,Mini MPV,0,0,0,0,0,0,0,0,0
2566,01,Bus,439,0,0,0,160,160,0,0,599
2566,Total,Bus,439,0,0,0,160,160,0,0,599
2566,Total,Mini MPV,0,0,0,0,0,0,0,0,0
2566,Total,Passenger Car and Pickup Truck,72308,7653,961,8614,2968,11582,0,0,83890
2566,Total,Three Wheeler,13,0,0,0,32,32,0,0,45
2566,Total,Truck,4755,0,0,0,4,4,0,1451,6210
